,time,F8,F4,F3,F7
207,0.828,0.075968102,0.098400461,0.073427953,0.119083977
208,0.832,0.075948461,0.098388023,0.073437305,0.11906570312499999
209,0.836,0.075934445,0.098376352,0.073453398,0.119051492
210,0.84,0.07595818,0.098392578,0.073454773,0.119074023
211,0.844,0.075959453,0.098392477,0.073429195,0.119072648
212,0.848,0.075968203,0.098400828,0.07342232,0.11908321093749999
213,0.852,0.075947891,0.098388891,0.073434219,0.119065305
214,0.856,0.075934609,0.098376656,0.073452125,0.119051156
215,0.86,0.075959492,0.098391336,0.073452359,0.119073852
216,0.864,0.075959688,0.098390938,0.073427516,0.119073078
217,0.868,0.075968141,0.098399383,0.073420945,0.119083813
218,0.872,0.075949266,0.098387984,0.073430195,0.11906587499999999
219,0.876,0.075937227,0.098376922,0.073446727,0.119052492
220,0.88,0.075961734,0.098392008,0.073447969,0.11907241406249999
221,0.884,0.075960094,0.098391172,0.073423664,0.119068219
222,0.888,0.075966898,0.098398953,0.07341843,0.119078414
223,0.892,0.075946883,0.098386883,0.073429695,0.119062117
224,0.896,0.075934844,0.09837575,0.073446125,0.11904944531249999
225,0.9,0.075957141,0.098390133,0.073446859,0.119070164
226,0.904,0.075957172,0.098388594,0.073420875,0.119067047
227,0.908,0.075964953,0.098394461,0.07341293,0.119077375
228,0.912,0.075946383,0.098382992,0.073423898,0.11906101562499999
229,0.916,0.075935383,0.098374742,0.073441195,0.119049008
230,0.92,0.075957781,0.098389594,0.073442,0.119069797
231,0.924,0.075958852,0.098388992,0.073417125,0.119068219
232,0.928,0.075968578,0.09839707,0.073409445,0.119079656
233,0.932,0.075949734,0.098386141,0.073417461,0.119063492
234,0.936,0.075937531,0.098376687,0.073432984,0.119051453
235,0.94,0.075958117,0.098391438,0.073433922,0.119072477
236,0.944,0.075957445,0.098389898,0.073410352,0.11907057
237,0.948,0.075966461,0.098397437,0.073405219,0.11908142968749999
238,0.952,0.075949063,0.098387953,0.073416891,0.11906470312499999
239,0.956,0.075937461,0.098378297,0.073434625,0.119051859
240,0.96,0.075958586,0.098391438,0.073435063,0.119074523
241,0.964,0.075958281,0.098389727,0.073409375,0.11907221093749999
242,0.968,0.075968172,0.098397742,0.073402641,0.119082406
243,0.972,0.075950977,0.098387312,0.073413875,0.119065234
244,0.976,0.0759385,0.098378031,0.073430367,0.119052461
245,0.98,0.075959117,0.098392414,0.073431539,0.11907358593749999
246,0.984,0.075957711,0.098390766,0.073406898,0.119070734
247,0.988,0.075967297,0.098397172,0.073400359,0.11908072656249999
248,0.992,0.075950602,0.098386477,0.07341018,0.11906362499999999
249,0.996,0.075939172,0.098378063,0.073425609,0.119052695
250,1,0.075960531,0.098392852,0.073426242,0.11907462499999999
251,1.004,0.075960961,0.098391672,0.073401297,0.11907221093749999
252,1.008,0.075971656,0.098399148,0.073394594,0.119082164
253,1.012,0.075951273,0.098388922,0.073405453,0.119064469
254,1.016,0.07593843,0.098379203,0.073422922,0.119051625
255,1.02,0.075960797,0.098393617,0.073424266,0.119073117
256,1.024,0.075960594,0.098391438,0.07339982,0.119069594
257,1.028,0.075969852,0.098397813,0.073393891,0.11907925
258,1.032,0.075952047,0.098387148,0.073405023,0.119063727
259,1.036,0.075940008,0.098379133,0.073422453,0.119052461
260,1.04,0.075961703,0.098393414,0.073423625,0.119074727
261,1.044,0.075961266,0.098391906,0.073398984,0.119072984
262,1.048,0.075969953,0.098398953,0.07339218,0.11908267187499999
263,1.052,0.075953391,0.098388789,0.073401469,0.119064031
264,1.056,0.075941047,0.098379641,0.073417461,0.11905196093749999
265,1.06,0.075962805,0.098393086,0.073417188,0.119073078
266,1.064,0.07596375,0.098391242,0.073390875,0.11907146874999999
267,1.068,0.075972328,0.098397977,0.073384,0.11908280468749999
268,1.072,0.075954492,0.098388219,0.073395367,0.119067516
269,1.076,0.075943094,0.098379773,0.073413164,0.119055813
270,1.08,0.075965625,0.098394258,0.073413164,0.119076602
271,1.084,0.075964555,0.098393688,0.073387352,0.119074594
272,1.088,0.075972664,0.098401898,0.07338118,0.119086094
273,1.092,0.075953859,0.098390938,0.073391711,0.119069391
274,1.096,0.075941219,0.098381016,0.07340807,0.119055445
275,1.1,0.075962711,0.098395094,0.073409883,0.11907720312499999
276,1.104,0.075963477,0.09839493,0.073386547,0.119075633
277,1.108,0.075972766,0.098402539,0.073381078,0.11908585937499999
278,1.112,0.075953555,0.098392477,0.073392445,0.119068992
279,1.116,0.075940578,0.098383227,0.073408906,0.119056016
280,1.12,0.075963211,0.098397508,0.073409281,0.119075695
281,1.124,0.075964516,0.098396937,0.073384266,0.11907157
282,1.128,0.075974242,0.098405016,0.073377766,0.119079789
283,1.132,0.075955867,0.098394461,0.073388125,0.11906110937499999
284,1.136,0.075942656,0.098384734,0.073404313,0.119044281
285,1.14,0.07596432,0.098397977,0.073404148,0.119061547
286,1.144,0.075965289,0.098397141,0.073379375,0.119056219
287,1.148,0.075975547,0.098406328,0.073373305,0.119062953
288,1.152,0.075958016,0.09839543,0.073384672,0.119044016
289,1.156,0.075946883,0.098386039,0.073402172,0.119028828
290,1.16,0.07596807,0.098399719,0.073402305,0.11904860937499999
291,1.164,0.075967969,0.098398211,0.073376992,0.119044078
292,1.168,0.075977055,0.098406195,0.073371023,0.11905155468749999
293,1.172,0.075958352,0.098394859,0.073382828,0.119032445
294,1.176,0.075946078,0.098384836,0.073399859,0.11901785937499999
295,1.18,0.075967836,0.098399422,0.073401266,0.11903918749999999
296,1.184,0.075967734,0.098398109,0.073377359,0.119037008
297,1.188,0.075977391,0.098405117,0.073369953,0.11904508593749999
298,1.192,0.075960594,0.098393953,0.073379133,0.119026477
299,1.196,0.075949633,0.098384133,0.073394328,0.11901491406249999
300,1.2,0.075970617,0.098398109,0.073394523,0.11903875
301,1.204,0.075969445,0.098396937,0.073370758,0.119037844
302,1.208,0.075977961,0.098403547,0.073365758,0.119047836
303,1.212,0.075959453,0.098392414,0.073376555,0.119029164
304,1.216,0.075947516,0.098384031,0.073392547,0.11901534374999999
