,time,F8,F4,F3,F7,,
2024,8.096,0.117978508,0.14733931249999999,0.113600641,0.125718922,,
2025,8.1,0.117975625,0.14733609374999998,0.113598961,0.125716844,,
2026,8.104,0.117980281,0.147340109,0.11360506249999999,0.12572268,,
2027,8.108,0.11798618749999999,0.147344609,0.11361207,0.12572854687499999,,
2028,8.112,0.11798453906249999,0.14734209374999999,0.113611195,0.12572643749999998,,
2029,8.116,0.117979078,0.147336453,0.113606875,0.12572107,,
2030,8.12,0.11797628906249999,0.1473335,0.11360532812499999,0.125718789,,
2031,8.124,0.117981117,0.147337266,0.11361157,0.12572375,,
2032,8.128,0.117986148,0.14734057812499998,0.11361796874999999,0.125729047,,
2033,8.132,0.117983867,0.14733712499999999,0.113617,0.12572714062499998,,
2034,8.136,0.11797810156249999,0.147331094,0.11361274218749999,0.125721977,,
2035,8.14,0.11797528906249999,0.147328047,0.113611234,0.125719359,,
2036,8.144,0.117979781,0.147331703,0.113616828,0.125724219,,
2037,8.148,0.117985344,0.147335813,0.113623172,0.12572925,,
2038,8.152,0.117983672,0.147333031,0.11362236718749999,0.12572643749999998,,
2039,8.156,0.11797793749999999,0.147327141,0.11361757,0.125720102,,
2040,8.16,0.117975016,0.147324125,0.113615492,0.12571771874999998,,
2041,8.164,0.11797967968749999,0.14732767187499998,0.113620688,0.125723789,,
2042,8.168,0.11798494531249999,0.147330984,0.113626422,0.12573008593749999,,
2043,8.172,0.11798313281249999,0.14732796874999998,0.11362494531249999,0.125728578,,
2044,8.176,0.11797760156249999,0.147322047,0.113619578,0.12572382031249998,,
2045,8.18,0.117974688,0.147318781,0.113617164,0.125722547,,
2046,8.184,0.11797914062499999,0.147322203,0.11362203124999999,0.125728242,,
2047,8.188,0.11798453906249999,0.147326234,0.11362779687499999,0.12573410937499999,,
2048,8.192,0.117982531,0.147323422,0.113626086,0.125731898,,
2049,8.196,0.11797723437499999,0.147317984,0.113621258,0.12572543,,
2050,8.2,0.117974648,0.147315563,0.113619414,0.125722445,,
2051,8.204,0.117979344,0.147319094,0.113624781,0.12572714062499998,,
2052,8.208,0.117984641,0.147322781,0.113630648,0.125732234,,
2053,8.212,0.11798263281249999,0.147319766,0.113629102,0.12573008593749999,,
2054,8.216,0.11797739843749999,0.147313922,0.113624008,0.12572478906249998,,
2055,8.22,0.117974852,0.147311141,0.113621859,0.125722781,,
2056,8.224,0.11797967968749999,0.147314797,0.113627125,0.125728148,,
2057,8.228,0.117985547,0.147318859,0.11363299218749999,0.12573394531249998,,
2058,8.232,0.117983531,0.147315563,0.113630648,0.125732203,,
2059,8.236,0.117977703,0.14730920312499998,0.11362444531249999,0.12572700781249999,,
2060,8.24,0.11797532031249999,0.14730634374999999,0.113621859,0.125725023,,
2061,8.244,0.117980688,0.147310641,0.113627461,0.125730023,,
2062,8.248,0.11798665624999999,0.14731506249999998,0.11363382812499999,0.125735352,,
2063,8.252,0.117984773,0.147312156,0.11363228906249999,0.125733141,,
2064,8.256,0.117979242,0.14730625,0.113626992,0.125727742,,
2065,8.26,0.117977063,0.14730353124999998,0.113624977,0.12572543,,
2066,8.264,0.117982227,0.14730742187499998,0.11363037499999999,0.125730188,,
2067,8.268,0.117987789,0.147311547,0.113636344,0.125735688,,
2068,8.272,0.117985547,0.14730853124999999,0.113634469,0.125733844,,
2069,8.276,0.117979945,0.147302625,0.113628938,0.12572881249999998,,
2070,8.28,0.11797753124999999,0.147299578,0.11362639062499999,0.12572673437499998,,
2071,8.284,0.11798209374999999,0.147303094,0.113631219,0.125732172,,
2072,8.288,0.11798735937499999,0.147306813,0.11363667968749999,0.125737836,,
2073,8.292,0.117985383,0.147304109,0.11363493749999999,0.125735523,,
2074,8.296,0.11798021874999999,0.147298578,0.11362987499999999,0.125729148,,
2075,8.3,0.11797814062499999,0.147296391,0.11362799999999999,0.125726398,,
2076,8.304,0.11798313281249999,0.14730037499999998,0.113633125,0.125731094,,
2077,8.308,0.11798843,0.147304141,0.11363875781249999,0.125736695,,
2078,8.312,0.11798661718749999,0.14730125,0.11363735156249999,0.12573435156249999,,
2079,8.316,0.117981156,0.147295688,0.113632188,0.12572700781249999,,
2080,8.32,0.11797884374999999,0.147293172,0.113630313,0.125723555,,
2081,8.324,0.117983805,0.14729689062499998,0.11363560937499999,0.125727539,,
2082,8.328,0.11798960156249999,0.14730115624999998,0.113642047,0.12573253906249998,,
2083,8.332,0.117987625,0.14729829687499998,0.113640773,0.125729523,,
2084,8.336,0.11798192187499999,0.147292609,0.11363577343749999,0.125722945,,
2085,8.34,0.117979375,0.147289813,0.113633766,0.125719461,,
2086,8.344,0.117983867,0.147293375,0.113638789,0.12572395312499998,,
2087,8.348,0.117989133,0.147297094,0.113644391,0.125729992,,
2088,8.352,0.11798682031249999,0.147294281,0.113642547,0.125727813,,
2089,8.356,0.117981359,0.14728884374999998,0.113637281,0.125722109,,
2090,8.36,0.117979039,0.147286438,0.11363527343749999,0.125719766,,
2091,8.364,0.117983602,0.147289922,0.11364020312499999,0.125724859,,
2092,8.368,0.117989,0.14729343749999999,0.11364596874999999,0.125731695,,
2093,8.372,0.11798752343749999,0.147290688,0.113644258,0.125731063,,
2094,8.376,0.11798196093749999,0.147284922,0.113638727,0.12572657,,
2095,8.38,0.11797917968749999,0.14728231249999998,0.113636211,0.125725227,,
2096,8.384,0.117984141,0.147286594,0.113641406,0.1257315,,
2097,8.388,0.11798973437499999,0.147290594,0.113646875,0.125738539,,
2098,8.392,0.117987625,0.147287734,0.113644891,0.12573807,,
2099,8.396,0.117981828,0.147281969,0.11363893,0.125732805,,
2100,8.4,0.117979781,0.14727979687499998,0.113636242,0.125730523,,
2101,8.404,0.11798487499999999,0.14728398437499998,0.113641109,0.12573602343749998,,
2102,8.408,0.11799050781249999,0.147287969,0.113646703,0.125742258,,
2103,8.412,0.117988664,0.147285266,0.113644492,0.125741188,,
2104,8.416,0.11798292968749999,0.147279734,0.11363842187499999,0.125736359,,
2105,8.42,0.11798038281249999,0.147277109,0.113635336,0.125734016,,
2106,8.424,0.117985344,0.147281109,0.11363966406249999,0.125738977,,
2107,8.428,0.11799134374999999,0.147285625,0.11364506249999999,0.125744977,,
2108,8.432,0.1179895,0.147283219,0.113642883,0.125743195,,
2109,8.436,0.117984141,0.147277891,0.11363688281249999,0.12573713281249999,,
2110,8.44,0.117981789,0.147275609,0.113634133,0.125734047,,
2111,8.444,0.11798698437499999,0.14728,0.113638859,0.125738469,,
2112,8.448,0.11799292187499999,0.147284719,0.113644125,0.125743703,,
2113,8.452,0.11799100781249999,0.14728220312499998,0.113641305,0.125741086,,
2114,8.456,0.117985648,0.14727674999999998,0.11363527343749999,0.125735016,,
2115,8.46,0.117983531,0.147274625,0.113632523,0.12573199999999998,,
2116,8.464,0.11798869531249999,0.147278953,0.113636945,0.125736094,,
2117,8.468,0.117994766,0.147283813,0.113642516,0.12574132,,
2118,8.472,0.117993391,0.147281766,0.113640469,0.125739648,,
2119,8.476,0.11798785937499999,0.147276109,0.113634336,0.12573461718749998,,
2120,8.48,0.117985547,0.147274,0.11363161718749999,0.125733273,,
2121,8.484,0.117990742,0.14727842187499998,0.113636008,0.125739414,,
2122,8.488,0.11799631249999999,0.147282781,0.113640867,0.12574618,,
2123,8.492,0.11799479687499999,0.147280438,0.113638453,0.125745242,,
